track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,spotify_id
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,3080503.0,,,,578568464.0,194.0,200230.0,32.0,117.0,22062193.0,126.0,10106573.0,7689.0,1612479.0,1579980.0,False,51ZQ1vr10ffzbwIjDCwqm4
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,,,,,,,,,,,,,,179867721.0,87209.0,,4474248.0,True,1h94Gt9wygZ7vPFR07fYPG
Danza Kuduro - Cover,,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,,,,,,,,,,,,,,,,,,,,True,76n1sIMW6s9S2dCEPAl4GM
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,4907193.0,212500.0,48327004.0,390081328.0,38798822.0,36.0,2188.0,32.0,3.0,347997.0,26.0,130743.0,592.0,265670.0,191867.0,False,1njlnn8ZKHI77Pe9szIONR
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,2566846.0,2114363.0,369150956.0,3932956380.0,3031114430.0,225.0,486952.0,1215.0,180.0,19469488.0,188.0,40418532.0,27555.0,6049784.0,6447136.0,False,5aIVCx5tnk0ntmdiinnYvw
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,1495758.0,1031447.0,196985853.0,2231749390.0,1745168821.0,163.0,378114.0,856.0,113.0,16295286.0,112.0,20228317.0,5331.0,10938075.0,7477917.0,False,5mjYQaktjmjcMKcUIcqz4s
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,,62123098.0,923733.0,,,,384716227.0,221.0,151990.0,64.0,42.0,658517.0,47.0,31032977.0,23005.0,1516649.0,,False,
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7.0,1519.0,,,,,,,,,,,,,1.0,121250721.0,83632.0,,3692067.0,False,79pge4Rth6LEDG2Dvnud3f
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,837616.0,,27811667.0,378313942.0,243895569.0,149.0,,141.0,58.0,26516005.0,146.0,21453034.0,30180.0,4482348.0,1707213.0,True,2FQrifJ1N335Ljm3TjTVVf
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,1504385.0,396560.0,49060857.0,597513595.0,4016801205.0,215.0,605841.0,162.0,133.0,42675181.0,120.0,253538985.0,72429.0,5409388.0,10517831.0,False,17phhZDn6oGtzMe56NuWvj
